codigo_ibge;municipio;reg_adm;reg_gov;reg_metrop;aglom_urb;drs_numero;drs;drs_plano_sp;tj_raj;tj_cj;tj_comarca;tj_comarca_2
3503901;Arujá;-;-;RM de São Paulo;-;DRS I - Grande São Paulo;DRS - Grande São Paulo;DRS - GSP -Leste;1ª RAJ - Grande São Paulo;44ª CJ: GUARULHOS;Comarca: ARUJA;ARUJA
3505708;Barueri;-;-;RM de São Paulo;-;DRS I - Grande São Paulo;DRS - Grande São Paulo;DRS - GSP -Oeste;1ª RAJ - Grande São Paulo;04ª CJ: OSASCO;Comarca: BARUERI;BARUERI
3506607;Biritiba-Mirim;-;-;RM de São Paulo;-;DRS I - Grande São Paulo;DRS - Grande São Paulo;DRS - GSP -Leste;1ª RAJ - Grande São Paulo;45ª CJ: MOGI DAS CRUZES;Comarca: MOGI DAS CRUZES;MOGI DAS CRUZES
3509007;Caieiras;-;-;RM de São Paulo;-;DRS I - Grande São Paulo;DRS - Grande São Paulo;DRS - GSP -Norte;4ª RAJ - Campinas;05ª CJ: JUNDIAÍ;Comarca: CAIEIRAS;CAIEIRAS
3509205;Cajamar;-;-;RM de São Paulo;-;DRS I - Grande São Paulo;DRS - Grande São Paulo;DRS - GSP -Norte;4ª RAJ - Campinas;05ª CJ: JUNDIAÍ;Comarca: CAJAMAR;CAJAMAR
3510609;Carapicuíba;-;-;RM de São Paulo;-;DRS I - Grande São Paulo;DRS - Grande São Paulo;DRS - GSP -Oeste;1ª RAJ - Grande São Paulo;04ª CJ: OSASCO;Comarca: CARAPICUIBA;CARAPICUIBA
3513009;Cotia;-;-;RM de São Paulo;-;DRS I - Grande São Paulo;DRS - Grande São Paulo;DRS - GSP -Sudoeste;1ª RAJ - Grande São Paulo;52ª CJ: ITAPECERICA DA SERRA;Comarca: COTIA;COTIA
3513801;Diadema;-;-;RM de São Paulo;-;DRS I - Grande São Paulo;DRS - Grande São Paulo;DRS - GSP -Sudeste;1ª RAJ - Grande São Paulo;02ª CJ: SÃO BERNARDO DO CAMPO;Comarca: DIADEMA;DIADEMA
3515004;Embu das Artes;-;-;RM de São Paulo;-;DRS I - Grande São Paulo;DRS - Grande São Paulo;DRS - GSP -Sudoeste;1ª RAJ - Grande São Paulo;52ª CJ: ITAPECERICA DA SERRA;Comarca: EMBU DAS ARTES;EMBU DAS ARTES
3515103;Embu-Guaçu;-;-;RM de São Paulo;-;DRS I - Grande São Paulo;DRS - Grande São Paulo;DRS - GSP -Sudoeste;1ª RAJ - Grande São Paulo;52ª CJ: ITAPECERICA DA SERRA;Comarca: EMBU-GUACU;EMBU-GUACU
3515707;Ferraz de Vasconcelos;-;-;RM de São Paulo;-;DRS I - Grande São Paulo;DRS - Grande São Paulo;DRS - GSP -Leste;1ª RAJ - Grande São Paulo;45ª CJ: MOGI DAS CRUZES;Comarca: FERRAZ DE VASCONCELOS;FERRAZ DE VASCONCELOS
3516309;Francisco Morato;-;-;RM de São Paulo;-;DRS I - Grande São Paulo;DRS - Grande São Paulo;DRS - GSP -Norte;4ª RAJ - Campinas;05ª CJ: JUNDIAÍ;Comarca: FRANCISCO MORATO;FRANCISCO MORATO
3516408;Franco da Rocha;-;-;RM de São Paulo;-;DRS I - Grande São Paulo;DRS - Grande São Paulo;DRS - GSP -Norte;4ª RAJ - Campinas;05ª CJ: JUNDIAÍ;Comarca: FRANCO DA ROCHA;FRANCO DA ROCHA
3518305;Guararema;-;-;RM de São Paulo;-;DRS I - Grande São Paulo;DRS - Grande São Paulo;DRS - GSP -Leste;1ª RAJ - Grande São Paulo;45ª CJ: MOGI DAS CRUZES;Comarca: GUARAREMA;GUARAREMA
3518800;Guarulhos;-;-;RM de São Paulo;-;DRS I - Grande São Paulo;DRS - Grande São Paulo;DRS - GSP -Leste;1ª RAJ - Grande São Paulo;44ª CJ: GUARULHOS;Comarca: GUARULHOS;GUARULHOS
3522208;Itapecerica da Serra;-;-;RM de São Paulo;-;DRS I - Grande São Paulo;DRS - Grande São Paulo;DRS - GSP -Sudoeste;1ª RAJ - Grande São Paulo;52ª CJ: ITAPECERICA DA SERRA;Comarca: ITAPECERICA DA SERRA;ITAPECERICA DA SERRA
3522505;Itapevi;-;-;RM de São Paulo;-;DRS I - Grande São Paulo;DRS - Grande São Paulo;DRS - GSP -Oeste;1ª RAJ - Grande São Paulo;52ª CJ: ITAPECERICA DA SERRA;Comarca: ITAPEVI;ITAPEVI
3523107;Itaquaquecetuba;-;-;RM de São Paulo;-;DRS I - Grande São Paulo;DRS - Grande São Paulo;DRS - GSP -Leste;1ª RAJ - Grande São Paulo;45ª CJ: MOGI DAS CRUZES;Comarca: ITAQUAQUECETUBA;ITAQUAQUECETUBA
3525003;Jandira;-;-;RM de São Paulo;-;DRS I - Grande São Paulo;DRS - Grande São Paulo;DRS - GSP -Oeste;1ª RAJ - Grande São Paulo;04ª CJ: OSASCO;Comarca: JANDIRA;JANDIRA
3526209;Juquitiba;-;-;RM de São Paulo;-;DRS I - Grande São Paulo;DRS - Grande São Paulo;DRS - GSP -Sudoeste;1ª RAJ - Grande São Paulo;52ª CJ: ITAPECERICA DA SERRA;Comarca: ITAPECERICA DA SERRA;ITAPECERICA DA SERRA
